Entry Time,Exit Time,Entry Price,Exit Price,Reason,PnL (pts)
2025-03-04 11:15:00+05:30,2025-03-04 15:15:00+05:30,22072.4,22080.3,EOD,-7.9
2025-03-05 12:45:00+05:30,2025-03-05 14:15:00+05:30,22368.65,22292.65,TP,76.0
2025-03-07 09:45:00+05:30,2025-03-07 10:00:00+05:30,22478.35,22523.35,SL,-45.0
2025-03-10 12:45:00+05:30,2025-03-10 14:15:00+05:30,22580.65,22504.65,TP,76.0
2025-03-11 11:15:00+05:30,2025-03-11 13:45:00+05:30,22446.85,22491.85,SL,-45.0
2025-03-17 12:15:00+05:30,2025-03-17 15:15:00+05:30,22503.95,22515.25,EOD,-11.3
2025-03-19 11:45:00+05:30,2025-03-19 12:45:00+05:30,22883.75,22928.75,SL,-45.0
2025-03-26 11:00:00+05:30,2025-03-26 11:45:00+05:30,23670.85,23594.85,TP,76.0
2025-03-28 09:15:00+05:30,2025-03-28 10:30:00+05:30,23576.45,23621.45,SL,-45.0
2025-03-28 11:00:00+05:30,2025-03-28 12:15:00+05:30,23612.85,23536.85,TP,76.0
2025-04-02 09:45:00+05:30,2025-04-02 10:30:00+05:30,23233.5,23278.5,SL,-45.0
2025-04-02 12:00:00+05:30,2025-04-02 12:15:00+05:30,23255.0,23300.0,SL,-45.0
2025-04-02 12:30:00+05:30,2025-04-02 15:00:00+05:30,23278.8,23323.8,SL,-45.0
2025-04-04 09:45:00+05:30,2025-04-04 10:00:00+05:30,23048.25,22972.25,TP,76.0
2025-04-04 12:30:00+05:30,2025-04-04 13:45:00+05:30,22963.9,22887.9,TP,76.0
2025-04-07 09:45:00+05:30,2025-04-07 10:15:00+05:30,21977.05,21901.05,TP,76.0
2025-04-07 11:15:00+05:30,2025-04-07 11:30:00+05:30,21980.25,22025.25,SL,-45.0
2025-04-07 11:45:00+05:30,2025-04-07 12:00:00+05:30,21987.05,21911.05,TP,76.0
2025-04-09 11:00:00+05:30,2025-04-09 11:30:00+05:30,22383.5,22428.5,SL,-45.0
2025-04-15 12:45:00+05:30,2025-04-15 15:15:00+05:30,23337.4,23344.1,EOD,-6.7
2025-04-16 10:15:00+05:30,2025-04-16 11:00:00+05:30,23349.65,23273.65,TP,76.0
2025-04-16 11:30:00+05:30,2025-04-16 12:30:00+05:30,23316.15,23361.15,SL,-45.0
2025-04-17 09:15:00+05:30,2025-04-17 09:30:00+05:30,23420.85,23344.85,TP,76.0
